k,n,d,usecs,datastructure,test
10,100,2,10953,QuadTree,n
10,1100,2,56446,QuadTree,n
10,2100,2,59668,QuadTree,n
10,3100,2,83065,QuadTree,n
10,4100,2,126451,QuadTree,n
10,5100,2,159114,QuadTree,n
10,6100,2,147254,QuadTree,n
10,7100,2,178246,QuadTree,n
10,8100,2,212131,QuadTree,n
10,9100,2,242513,QuadTree,n
10,10100,2,259553,QuadTree,n
10,11100,2,287383,QuadTree,n
10,12100,2,287446,QuadTree,n
10,13100,2,326203,QuadTree,n
10,14100,2,327935,QuadTree,n
10,15100,2,379497,QuadTree,n
10,16100,2,306558,QuadTree,n
10,17100,2,380803,QuadTree,n
10,18100,2,379520,QuadTree,n
10,19100,2,393842,QuadTree,n
10,20100,2,477758,QuadTree,n
10,21100,2,478370,QuadTree,n
10,22100,2,504203,QuadTree,n
10,23100,2,540811,QuadTree,n
10,24100,2,488815,QuadTree,n
10,25100,2,527752,QuadTree,n
10,26100,2,536604,QuadTree,n
10,27100,2,599872,QuadTree,n
10,28100,2,592436,QuadTree,n
10,29100,2,637061,QuadTree,n
10,30100,2,646950,QuadTree,n
10,31100,2,640051,QuadTree,n
10,32100,2,659937,QuadTree,n
10,33100,2,730303,QuadTree,n
10,34100,2,718592,QuadTree,n
10,35100,2,696840,QuadTree,n
10,36100,2,740166,QuadTree,n
10,37100,2,807835,QuadTree,n
10,38100,2,792242,QuadTree,n
10,39100,2,825871,QuadTree,n
10,40100,2,702931,QuadTree,n
10,41100,2,835510,QuadTree,n
10,42100,2,755280,QuadTree,n
10,43100,2,880575,QuadTree,n
10,44100,2,959432,QuadTree,n
10,45100,2,944304,QuadTree,n
10,46100,2,940432,QuadTree,n
10,47100,2,979053,QuadTree,n
10,48100,2,997897,QuadTree,n
10,49100,2,1025222,QuadTree,n
10,1000,2,40418,QuadTree,k
20,1000,2,59435,QuadTree,k
30,1000,2,58337,QuadTree,k
40,1000,2,70050,QuadTree,k
50,1000,2,86562,QuadTree,k
60,1000,2,99634,QuadTree,k
70,1000,2,110745,QuadTree,k
80,1000,2,119717,QuadTree,k
90,1000,2,150574,QuadTree,k
100,1000,2,152261,QuadTree,k
110,1000,2,180843,QuadTree,k
120,1000,2,210088,QuadTree,k
130,1000,2,154961,QuadTree,k
140,1000,2,165095,QuadTree,k
150,1000,2,162418,QuadTree,k
160,1000,2,178762,QuadTree,k
170,1000,2,163168,QuadTree,k
180,1000,2,178314,QuadTree,k
190,1000,2,175017,QuadTree,k
200,1000,2,190413,QuadTree,k
210,1000,2,187339,QuadTree,k
220,1000,2,201596,QuadTree,k
230,1000,2,203487,QuadTree,k
240,1000,2,207574,QuadTree,k
250,1000,2,216313,QuadTree,k
260,1000,2,222310,QuadTree,k
270,1000,2,226151,QuadTree,k
280,1000,2,227439,QuadTree,k
290,1000,2,238961,QuadTree,k
300,1000,2,249037,QuadTree,k
310,1000,2,253545,QuadTree,k
320,1000,2,249982,QuadTree,k
330,1000,2,269706,QuadTree,k
340,1000,2,275361,QuadTree,k
350,1000,2,275887,QuadTree,k
360,1000,2,273391,QuadTree,k
370,1000,2,306237,QuadTree,k
380,1000,2,282768,QuadTree,k
390,1000,2,320579,QuadTree,k
400,1000,2,326741,QuadTree,k
410,1000,2,311562,QuadTree,k
420,1000,2,317910,QuadTree,k
430,1000,2,360199,QuadTree,k
440,1000,2,344680,QuadTree,k
450,1000,2,355207,QuadTree,k
460,1000,2,341405,QuadTree,k
470,1000,2,349248,QuadTree,k
480,1000,2,348218,QuadTree,k
490,1000,2,359656,QuadTree,k
500,1000,2,360651,QuadTree,k
510,1000,2,389768,QuadTree,k
520,1000,2,385395,QuadTree,k
530,1000,2,391646,QuadTree,k
540,1000,2,383833,QuadTree,k
550,1000,2,396301,QuadTree,k
560,1000,2,413176,QuadTree,k
570,1000,2,420937,QuadTree,k
580,1000,2,412623,QuadTree,k
590,1000,2,412550,QuadTree,k
600,1000,2,418696,QuadTree,k
610,1000,2,436465,QuadTree,k
620,1000,2,437960,QuadTree,k
630,1000,2,432092,QuadTree,k
640,1000,2,454347,QuadTree,k
650,1000,2,457845,QuadTree,k
660,1000,2,457343,QuadTree,k
670,1000,2,474632,QuadTree,k
680,1000,2,474033,QuadTree,k
690,1000,2,486478,QuadTree,k
700,1000,2,473858,QuadTree,k
710,1000,2,499207,QuadTree,k
720,1000,2,492447,QuadTree,k
730,1000,2,510018,QuadTree,k
740,1000,2,509968,QuadTree,k
750,1000,2,517639,QuadTree,k
760,1000,2,521511,QuadTree,k
770,1000,2,523750,QuadTree,k
780,1000,2,532947,QuadTree,k
790,1000,2,533455,QuadTree,k
800,1000,2,534596,QuadTree,k
810,1000,2,542207,QuadTree,k
820,1000,2,547387,QuadTree,k
830,1000,2,555188,QuadTree,k
840,1000,2,552472,QuadTree,k
850,1000,2,553241,QuadTree,k
860,1000,2,572024,QuadTree,k
870,1000,2,560107,QuadTree,k
880,1000,2,563883,QuadTree,k
890,1000,2,573391,QuadTree,k
900,1000,2,581643,QuadTree,k
910,1000,2,587528,QuadTree,k
920,1000,2,587013,QuadTree,k
930,1000,2,592721,QuadTree,k
940,1000,2,591066,QuadTree,k
950,1000,2,599645,QuadTree,k
960,1000,2,612350,QuadTree,k
970,1000,2,613968,QuadTree,k
980,1000,2,620933,QuadTree,k
990,1000,2,614310,QuadTree,k
10,1000,1,653431,Bucketing,d
10,1000,2,351447,Bucketing,d
10,1000,3,241017,Bucketing,d
10,1000,4,198192,Bucketing,d
10,1000,5,135666,Bucketing,d
10,1000,6,150301,Bucketing,d
10,1000,7,233682,Bucketing,d
10,1000,8,878294,Bucketing,d
10,1000,9,8869387,Bucketing,d
10,1000,10,90736688,Bucketing,d
10,100,2,4935,Bucketing,n
10,1100,2,226462,Bucketing,n
